"Game","Season","Team","Goals","Conference","Status","Win","Opponent","OpponentGoals","OpponentConference"
908,"20162017","Colorado College",1,"NCHC","Home","Loss","Minnesota-Duluth",2,"NCHC"
908,"20162017","Minnesota-Duluth",2,"NCHC","Away","Win","Colorado College",1,"NCHC"
909,"20162017","Miami",2,"NCHC","Home","Loss","Denver",5,"NCHC"
909,"20162017","Denver",5,"NCHC","Away","Win","Miami",2,"NCHC"
910,"20162017","Western Michigan",4,"NCHC","Home","Win","North Dakota",2,"NCHC"
910,"20162017","North Dakota",2,"NCHC","Away","Loss","Western Michigan",4,"NCHC"
911,"20162017","Ferris State",2,"WCHA","Home","Win","Alaska-Anchorage",1,"WCHA"
911,"20162017","Alaska-Anchorage",1,"WCHA","Away","Loss","Ferris State",2,"WCHA"
912,"20162017","Minnesota State",5,"WCHA","Home","Win","Northern Michigan",3,"WCHA"
912,"20162017","Northern Michigan",3,"WCHA","Away","Loss","Minnesota State",5,"WCHA"
913,"20162017","Alaska",4,"WCHA","Home","Win","Lake Superior",2,"WCHA"
913,"20162017","Lake Superior",2,"WCHA","Away","Loss","Alaska",4,"WCHA"
914,"20162017","Army",4,"Atlantic Hockey","Home","Win","Holy Cross",2,"Atlantic Hockey"
914,"20162017","Holy Cross",2,"Atlantic Hockey","Away","Loss","Army",4,"Atlantic Hockey"
915,"20162017","RIT",2,"Atlantic Hockey","Home","Loss","Air Force",3,"Atlantic Hockey"
915,"20162017","Air Force",3,"Atlantic Hockey","Away","Win","RIT",2,"Atlantic Hockey"
916,"20162017","Robert Morris",3,"Atlantic Hockey","Home","Win","Mercyhurst",2,"Atlantic Hockey"
916,"20162017","Mercyhurst",2,"Atlantic Hockey","Away","Loss","Robert Morris",3,"Atlantic Hockey"
917,"20162017","Sacred Heart",3,"Atlantic Hockey","Home","Win","Bentley",2,"Atlantic Hockey"
917,"20162017","Bentley",2,"Atlantic Hockey","Away","Loss","Sacred Heart",3,"Atlantic Hockey"
918,"20162017","Michigan State",3,"Big Ten","Home","Loss","Ohio State",4,"Big Ten"
918,"20162017","Ohio State",4,"Big Ten","Away","Win","Michigan State",3,"Big Ten"
919,"20162017","Penn State",3,"Big Ten","Home","Loss","Minnesota",4,"Big Ten"
919,"20162017","Minnesota",4,"Big Ten","Away","Win","Penn State",3,"Big Ten"
920,"20162017","Wisconsin",6,"Big Ten","Home","Win","Michigan",4,"Big Ten"
920,"20162017","Michigan",4,"Big Ten","Away","Loss","Wisconsin",6,"Big Ten"
921,"20162017","Brown",0,"ECAC","Home","Loss","Harvard",6,"ECAC"
921,"20162017","Harvard",6,"ECAC","Away","Win","Brown",0,"ECAC"
922,"20162017","Clarkson",3,"ECAC","Home","Tie","Cornell",3,"ECAC"
922,"20162017","Cornell",3,"ECAC","Away","Tie","Clarkson",3,"ECAC"
923,"20162017","Rensselaer",3,"ECAC","Home","Loss","Quinnipiac",7,"ECAC"
923,"20162017","Quinnipiac",7,"ECAC","Away","Win","Rensselaer",3,"ECAC"
924,"20162017","St. Lawrence",1,"ECAC","Home","Tie","Colgate",1,"ECAC"
924,"20162017","Colgate",1,"ECAC","Away","Tie","St. Lawrence",1,"ECAC"
925,"20162017","Union",4,"ECAC","Home","Win","Princeton",2,"ECAC"
925,"20162017","Princeton",2,"ECAC","Away","Loss","Union",4,"ECAC"
926,"20162017","Yale",4,"ECAC","Home","Win","Dartmouth",0,"ECAC"
926,"20162017","Dartmouth",0,"ECAC","Away","Loss","Yale",4,"ECAC"
927,"20162017","Boston College",2,"Hockey East","Home","Tie","Vermont",2,"Hockey East"
927,"20162017","Vermont",2,"Hockey East","Away","Tie","Boston College",2,"Hockey East"
928,"20162017","Merrimack",4,"Hockey East","Home","Tie","Maine",4,"Hockey East"
928,"20162017","Maine",4,"Hockey East","Away","Tie","Merrimack",4,"Hockey East"
929,"20162017","Notre Dame",3,"Hockey East","Home","Tie","Providence",3,"Hockey East"
929,"20162017","Providence",3,"Hockey East","Away","Tie","Notre Dame",3,"Hockey East"
930,"20162017","Northeastern",4,"Hockey East","Home","Win","Connecticut",1,"Hockey East"
930,"20162017","Connecticut",1,"Hockey East","Away","Loss","Northeastern",4,"Hockey East"
931,"20162017","Massachusetts",2,"Hockey East","Home","Loss","Massachusetts-Lowell",5,"Hockey East"
931,"20162017","Massachusetts-Lowell",5,"Hockey East","Away","Win","Massachusetts",2,"Hockey East"
932,"20162017","New Hampshire",4,"Hockey East","Home","Loss","Boston University",8,"Hockey East"
932,"20162017","Boston University",8,"Hockey East","Away","Win","New Hampshire",4,"Hockey East"
933,"20162017","Colorado College",2,"NCHC","Home","Tie","Minnesota-Duluth",2,"NCHC"
933,"20162017","Minnesota-Duluth",2,"NCHC","Away","Tie","Colorado College",2,"NCHC"
934,"20162017","Miami",2,"NCHC","Home","Loss","Denver",5,"NCHC"
934,"20162017","Denver",5,"NCHC","Away","Win","Miami",2,"NCHC"
935,"20162017","Western Michigan",3,"NCHC","Home","Win","North Dakota",2,"NCHC"
935,"20162017","North Dakota",2,"NCHC","Away","Loss","Western Michigan",3,"NCHC"
936,"20162017","Ferris State",3,"WCHA","Home","Win","Alaska-Anchorage",0,"WCHA"
936,"20162017","Alaska-Anchorage",0,"WCHA","Away","Loss","Ferris State",3,"WCHA"
937,"20162017","Minnesota State",7,"WCHA","Home","Win","Northern Michigan",4,"WCHA"
937,"20162017","Northern Michigan",4,"WCHA","Away","Loss","Minnesota State",7,"WCHA"
938,"20162017","Alaska",3,"WCHA","Home","Tie","Lake Superior",3,"WCHA"
938,"20162017","Lake Superior",3,"WCHA","Away","Tie","Alaska",3,"WCHA"
939,"20162017","American International",1,"Atlantic Hockey","Home","Tie","Army",1,"Atlantic Hockey"
939,"20162017","Army",1,"Atlantic Hockey","Away","Tie","American International",1,"Atlantic Hockey"
940,"20162017","Canisius",4,"Atlantic Hockey","Home","Win","Mercyhurst",0,"Atlantic Hockey"
940,"20162017","Mercyhurst",0,"Atlantic Hockey","Away","Loss","Canisius",4,"Atlantic Hockey"
941,"20162017","Boston College",1,"Hockey East","Home","Loss","Massachusetts-Lowell",4,"Hockey East"
941,"20162017","Massachusetts-Lowell",4,"Hockey East","Away","Win","Boston College",1,"Hockey East"
942,"20162017","Minnesota-Duluth",4,"NCHC","Home","Win","Miami",3,"NCHC"
942,"20162017","Miami",3,"NCHC","Away","Loss","Minnesota-Duluth",4,"NCHC"
943,"20162017","Air Force",5,"Atlantic Hockey","Home","Win","Sacred Heart",0,"Atlantic Hockey"
943,"20162017","Sacred Heart",0,"Atlantic Hockey","Away","Loss","Air Force",5,"Atlantic Hockey"
944,"20162017","Bentley",4,"Atlantic Hockey","Home","Loss","Holy Cross",5,"Atlantic Hockey"
944,"20162017","Holy Cross",5,"Atlantic Hockey","Away","Win","Bentley",4,"Atlantic Hockey"
945,"20162017","Michigan State",2,"Big Ten","Home","Loss","Penn State",4,"Big Ten"
945,"20162017","Penn State",4,"Big Ten","Away","Win","Michigan State",2,"Big Ten"
946,"20162017","Ohio State",4,"Big Ten","Home","Win","Michigan",2,"Big Ten"
946,"20162017","Michigan",2,"Big Ten","Away","Loss","Ohio State",4,"Big Ten"
947,"20162017","Minnesota",2,"Big Ten","Home","Loss","Wisconsin",3,"Big Ten"
947,"20162017","Wisconsin",3,"Big Ten","Away","Win","Minnesota",2,"Big Ten"
948,"20162017","Colgate",3,"ECAC","Home","Loss","Union",4,"ECAC"
