Number,Name,Class,Position,Hometown,Team,Simple.Hometown,Label,Season
12,Stephen Hladin,JR,F,"Mississauga, Ontario",Sacred Heart,mississauga ontario,"Sacred Heart: 12 Stephen Hladin - Mississauga, Ontario (JR-F)",20172018
13,Jordan Kaplan,FR,F,"Bridgewater, New Jersey",Sacred Heart,bridgewater new jersey,"Sacred Heart: 13 Jordan Kaplan - Bridgewater, New Jersey (FR-F)",20172018
15,Zach De Concilys,JR,F,"St. Catherines, Ontario",Sacred Heart,st catherines ontario,"Sacred Heart: 15 Zach De Concilys - St. Catherines, Ontario (JR-F)",20172018
17,Zach Tsekos,SO,F,"Montreal, Quebec",Sacred Heart,montreal quebec,"Sacred Heart: 17 Zach Tsekos - Montreal, Quebec (SO-F)",20172018
18,Michael Gilroy,FR,D,"North Bellmore, New York",Sacred Heart,north bellmore new york,"Sacred Heart: 18 Michael Gilroy - North Bellmore, New York (FR-D)",20172018
19,Kory Kennedy,SR,F,"Midhurst, Ontario",Sacred Heart,midhurst ontario,"Sacred Heart: 19 Kory Kennedy - Midhurst, Ontario (SR-F)",20172018
20,Vito Bavaro,SO,F,"Sarasota, Florida",Sacred Heart,sarasota florida,"Sacred Heart: 20 Vito Bavaro - Sarasota, Florida (SO-F)",20172018
21,Josh Allan,FR,D,"Orillia, Ontario",Sacred Heart,orillia ontario,"Sacred Heart: 21 Josh Allan - Orillia, Ontario (FR-D)",20172018
22,Mike Crocock,JR,D,"Scotland, Ontario",Sacred Heart,scotland ontario,"Sacred Heart: 22 Mike Crocock - Scotland, Ontario (JR-D)",20172018
23,Hunter Fargey,SO,F,"Belleville, Ontario",Sacred Heart,belleville ontario,"Sacred Heart: 23 Hunter Fargey - Belleville, Ontario (SO-F)",20172018
25,Austin McIlmurray,SO,F,"Coral Springs, Florida",Sacred Heart,coral springs florida,"Sacred Heart: 25 Austin McIlmurray - Coral Springs, Florida (SO-F)",20172018
26,Marc Johnstone,FR,F,"Cranford, New Jersey",Sacred Heart,cranford new jersey,"Sacred Heart: 26 Marc Johnstone - Cranford, New Jersey (FR-F)",20172018
27,Jackson Barliant,JR,F,"Santa Fe, New Mexico",Sacred Heart,santa fe new mexico,"Sacred Heart: 27 Jackson Barliant - Santa Fe, New Mexico (JR-F)",20172018
28,Marcel Godbout,FR,F,"St. Clair Shores, Michigan",Sacred Heart,st clair shores michigan,"Sacred Heart: 28 Marcel Godbout - St. Clair Shores, Michigan (FR-F)",20172018
29,Matt Tugnutt,FR,F,"Peterborough, Ontario",Sacred Heart,peterborough ontario,"Sacred Heart: 29 Matt Tugnutt - Peterborough, Ontario (FR-F)",20172018
31,Nathan Perry,SR,G,"Bath, Ontario",Sacred Heart,bath ontario,"Sacred Heart: 31 Nathan Perry - Bath, Ontario (SR-G)",20172018
33,Brett Magnus,JR,G,"Montreal, QuACbec",Sacred Heart,montreal quacbec,"Sacred Heart: 33 Brett Magnus - Montreal, QuACbec (JR-G)",20172018
1,Jeff Smith,JR,G,"Maple Ridge, British Columbia",St. Cloud State,maple ridge british columbia,"St. Cloud State: 01 Jeff Smith - Maple Ridge, British Columbia (JR-G)",20172018
2,Clark Kuster,JR,D,"St. Louis, Missouri",St. Cloud State,st louis missouri,"St. Cloud State: 02 Clark Kuster - St. Louis, Missouri (JR-D)",20172018
3,Jack Poehling,SO,F,"Lakeville, Minnesota",St. Cloud State,lakeville minnesota,"St. Cloud State: 03 Jack Poehling - Lakeville, Minnesota (SO-F)",20172018
6,Luke Jaycox,FR,D,"Warroad, Minnesota",St. Cloud State,warroad minnesota,"St. Cloud State: 06 Luke Jaycox - Warroad, Minnesota (FR-D)",20172018
7,Nick Poehling,SO,F,"Lakeville, Minnesota",St. Cloud State,lakeville minnesota,"St. Cloud State: 07 Nick Poehling - Lakeville, Minnesota (SO-F)",20172018
8,Tyler Anderson,FR,D,"Winnipeg, Manitoba",St. Cloud State,winnipeg manitoba,"St. Cloud State: 08 Tyler Anderson - Winnipeg, Manitoba (FR-D)",20172018
10,Jon Lizotte,JR,D,"Grand Forks, North Dakota",St. Cloud State,grand forks north dakota,"St. Cloud State: 10 Jon Lizotte - Grand Forks, North Dakota (JR-D)",20172018
11,Ryan Poehling,SO,F,"Lakeville, Minnesota",St. Cloud State,lakeville minnesota,"St. Cloud State: 11 Ryan Poehling - Lakeville, Minnesota (SO-F)",20172018
12,Jack Ahcan,SO,D,"Savage, Minnesota",St. Cloud State,savage minnesota,"St. Cloud State: 12 Jack Ahcan - Savage, Minnesota (SO-D)",20172018
14,Patrick Newell,JR,F,"Thousand Oaks, California",St. Cloud State,thousand oaks california,"St. Cloud State: 14 Patrick Newell - Thousand Oaks, California (JR-F)",20172018
16,Will Hammer,FR,F,"St. Cloud, Minnesota",St. Cloud State,st cloud minnesota,"St. Cloud State: 16 Will Hammer - St. Cloud, Minnesota (FR-F)",20172018
17,Jacob Benson,JR,F,"Grand Forks, North Dakota",St. Cloud State,grand forks north dakota,"St. Cloud State: 17 Jacob Benson - Grand Forks, North Dakota (JR-F)",20172018
18,Judd Peterson,SR,F,"Duluth, Minnesota",St. Cloud State,duluth minnesota,"St. Cloud State: 18 Judd Peterson - Duluth, Minnesota (SR-F)",20172018
19,Mikey Eyssimont,JR,F,"Littleton, Colorado",St. Cloud State,littleton colorado,"St. Cloud State: 19 Mikey Eyssimont - Littleton, Colorado (JR-F)",20172018
20,Will Borgen,JR,D,"Moorhead, Minnesota",St. Cloud State,moorhead minnesota,"St. Cloud State: 20 Will Borgen - Moorhead, Minnesota (JR-D)",20172018
21,Jake Wahlin,SO,F,"St. Paul, Minnesota",St. Cloud State,st paul minnesota,"St. Cloud State: 21 Jake Wahlin - St. Paul, Minnesota (SO-F)",20172018
22,Jimmy Schuldt,JR,D,"Minnetonka, Minnesota",St. Cloud State,minnetonka minnesota,"St. Cloud State: 22 Jimmy Schuldt - Minnetonka, Minnesota (JR-D)",20172018
23,Robby Jackson,JR,F,"Alameda, California",St. Cloud State,alameda california,"St. Cloud State: 23 Robby Jackson - Alameda, California (JR-F)",20172018
26,Easton Brodzinski,FR,F,"Blaine, Minnesota",St. Cloud State,blaine minnesota,"St. Cloud State: 26 Easton Brodzinski - Blaine, Minnesota (FR-F)",20172018
27,Blake Lizotte,FR,F,"Lindstrom, Minnesota",St. Cloud State,lindstrom minnesota,"St. Cloud State: 27 Blake Lizotte - Lindstrom, Minnesota (FR-F)",20172018
28,Kevin Fitzgerald,FR,F,"Oak Brook, Illinois",St. Cloud State,oak brook illinois,"St. Cloud State: 28 Kevin Fitzgerald - Oak Brook, Illinois (FR-F)",20172018
30,David Zevnik,JR,G,"Lakeville, Minnesota",St. Cloud State,lakeville minnesota,"St. Cloud State: 30 David Zevnik - Lakeville, Minnesota (JR-G)",20172018
34,David HrenA!k,FR,G,"PovaAzskA! Bystrica, Slovakia",St. Cloud State,povaazska bystrica slovakia,"St. Cloud State: 34 David HrenA!k - PovaAzskA! Bystrica, Slovakia (FR-G)",20172018
42,Blake Winiecki,SR,F,"Lakeville, Minnesota",St. Cloud State,lakeville minnesota,"St. Cloud State: 42 Blake Winiecki - Lakeville, Minnesota (SR-F)",20172018
55,Mika Ilvonen,SR,D,"Espoo, Finland",St. Cloud State,espoo finland,"St. Cloud State: 55 Mika Ilvonen - Espoo, Finland (SR-D)",20172018
2,Dylan Woolf,FR,D,"Victoria, Minnesota",St. Lawrence,victoria minnesota,"St. Lawrence: 02 Dylan Woolf - Victoria, Minnesota (FR-D)",20172018
4,Cameron White,FR,D,"Toronto, Ontario",St. Lawrence,toronto ontario,"St. Lawrence: 04 Cameron White - Toronto, Ontario (FR-D)",20172018
7,Jacob Nielsen,FR,F,"New Berlin, Wisconsin",St. Lawrence,new berlin wisconsin,"St. Lawrence: 07 Jacob Nielsen - New Berlin, Wisconsin (FR-F)",20172018
8,Eddie Pavlini,FR,F,"Far Hills, New Jersey",St. Lawrence,far hills new jersey,"St. Lawrence: 08 Eddie Pavlini - Far Hills, New Jersey (FR-F)",20172018
9,Ryan Garvey,SO,F,"Oakville, Ontario",St. Lawrence,oakville ontario,"St. Lawrence: 09 Ryan Garvey - Oakville, Ontario (SO-F)",20172018
10,Ryan Lough,SR,F,"Manotick, Ontario",St. Lawrence,manotick ontario,"St. Lawrence: 10 Ryan Lough - Manotick, Ontario (SR-F)",20172018
11,Carson Gicewicz,SO,F,"Buffalo, New York",St. Lawrence,buffalo new york,"St. Lawrence: 11 Carson Gicewicz - Buffalo, New York (SO-F)",20172018
12,Bo Hanson,FR,D,"Boise, Idaho",St. Lawrence,boise idaho,"St. Lawrence: 12 Bo Hanson - Boise, Idaho (FR-D)",20172018
14,Cade Gleekel,FR,F,"Golden Valley, Minnesota",St. Lawrence,golden valley minnesota,"St. Lawrence: 14 Cade Gleekel - Golden Valley, Minnesota (FR-F)",20172018
15,Matt Purmal,SR,D,"Merrill, Wisconsin",St. Lawrence,merrill wisconsin,"St. Lawrence: 15 Matt Purmal - Merrill, Wisconsin (SR-D)",20172018
16,Michael Ederer,JR,F,"Lancaster, New York",St. Lawrence,lancaster new york,"St. Lawrence: 16 Michael Ederer - Lancaster, New York (JR-F)",20172018
17,Alex Gilmour,SO,F,"Uxbridge, Ontario",St. Lawrence,uxbridge ontario,"St. Lawrence: 17 Alex Gilmour - Uxbridge, Ontario (SO-F)",20172018
18,Jacob Pritchard,JR,F,"Macomb, Michigan",St. Lawrence,macomb michigan,"St. Lawrence: 18 Jacob Pritchard - Macomb, Michigan (JR-F)",20172018
20,Joe Sullivan,SR,F,"Las Vegas, Nevada",St. Lawrence,las vegas nevada,"St. Lawrence: 20 Joe Sullivan - Las Vegas, Nevada (SR-F)",20172018
21,Nolan Gluchowski,SR,D,"Wixom, Michigan",St. Lawrence,wixom michigan,"St. Lawrence: 21 Nolan Gluchowski - Wixom, Michigan (SR-D)",20172018
23,Patrick Steinhauser,SR,F,"Plymouth, Minnesota",St. Lawrence,plymouth minnesota,"St. Lawrence: 23 Patrick Steinhauser - Plymouth, Minnesota (SR-F)",20172018
24,Taggart Corriveau,SO,F,"New Britain, Connecticut",St. Lawrence,new britain connecticut,"St. Lawrence: 24 Taggart Corriveau - New Britain, Connecticut (SO-F)",20172018
25,Michael Laidley,JR,F,"Little Current, Ontario",St. Lawrence,little current ontario,"St. Lawrence: 25 Michael Laidley - Little Current, Ontario (JR-F)",20172018
26,Mike Marnell,SR,F,"South Huntington, New York",St. Lawrence,south huntington new york,"St. Lawrence: 26 Mike Marnell - South Huntington, New York (SR-F)",20172018
27,Keenan Suthers,FR,F,"Tecumseh, Ontario",St. Lawrence,tecumseh ontario,"St. Lawrence: 27 Keenan Suthers - Tecumseh, Ontario (FR-F)",20172018
28,Callum Cusinato,FR,F,"Toronto, Ontario",St. Lawrence,toronto ontario,"St. Lawrence: 28 Callum Cusinato - Toronto, Ontario (FR-F)",20172018
29,Cameron Gray,FR,G,"Austin, Texas",St. Lawrence,austin texas,"St. Lawrence: 29 Cameron Gray - Austin, Texas (FR-G)",20172018
30,Daniel Mannella,SO,G,"Woodbridge, Ontario",St. Lawrence,woodbridge ontario,"St. Lawrence: 30 Daniel Mannella - Woodbridge, Ontario (SO-G)",20172018
31,Arthur Brey,JR,G,"Yorba Linda, California",St. Lawrence,yorba linda california,"St. Lawrence: 31 Arthur Brey - Yorba Linda, California (JR-G)",20172018
32,Philip Alftberg,FR,D,"Marsta, Sweden",St. Lawrence,marsta sweden,"St. Lawrence: 32 Philip Alftberg - Marsta, Sweden (FR-D)",20172018
44,Jake Stevens,FR,D,"Naperville, Illinois",St. Lawrence,naperville illinois,"St. Lawrence: 44 Jake Stevens - Naperville, Illinois (FR-D)",20172018
1,Jake Kupsky,JR,G,"Waukesha, Wisconsin",Union,waukesha wisconsin,"Union: 01 Jake Kupsky - Waukesha, Wisconsin (JR-G)",20172018
2,Taylor Brierley,FR,D,"East Grand Forks, Minnesota",Union,east grand forks minnesota,"Union: 02 Taylor Brierley - East Grand Forks, Minnesota (FR-D)",20172018
4,Joseph Campolieto,FR,D,"Eynon, Pennsylvania",Union,eynon pennsylvania,"Union: 04 Joseph Campolieto - Eynon, Pennsylvania (FR-D)",20172018
5,Vas Kolias,SO,D,"Schaumburg, Illinois",Union,schaumburg illinois,"Union: 05 Vas Kolias - Schaumburg, Illinois (SO-D)",20172018
6,Ben Newhouse,SO,D,"Edina, Minnesota",Union,edina minnesota,"Union: 06 Ben Newhouse - Edina, Minnesota (SO-D)",20172018
7,Brandon Estes,FR,D,"Richardson, Texas",Union,richardson texas,"Union: 07 Brandon Estes - Richardson, Texas (FR-D)",20172018
8,Anthony Rinaldi,SO,F,"Montreal, Quebec",Union,montreal quebec,"Union: 08 Anthony Rinaldi - Montreal, Quebec (SO-F)",20172018
9,Ryan Scarfo,SR,F,"North Chelmsford, Massachusetts",Union,north chelmsford massachusetts,"Union: 09 Ryan Scarfo - North Chelmsford, Massachusetts (SR-F)",20172018
10,Ryan Burton,SO,F,"Thunder Bay, Ontario",Union,thunder bay ontario,"Union: 10 Ryan Burton - Thunder Bay, Ontario (SO-F)",20172018
11,Mark Dufour,JR,F,"Winthrop, Maine",Union,winthrop maine,"Union: 11 Mark Dufour - Winthrop, Maine (JR-F)",20172018
13,Zachary Emelifeonwu,SO,F,"Kingston, Ontario",Union,kingston ontario,"Union: 13 Zachary Emelifeonwu - Kingston, Ontario (SO-F)",20172018
14,J.C. Brassard,SR,D,"Scituate, Massachusetts",Union,scituate massachusetts,"Union: 14 J.C. Brassard - Scituate, Massachusetts (SR-D)",20172018
15,Jack Adams,FR,F,"Boxford, Massachusetts",Union,boxford massachusetts,"Union: 15 Jack Adams - Boxford, Massachusetts (FR-F)",20172018
16,Luc Brown,SO,F,"Napanee, Ontario",Union,napanee ontario,"Union: 16 Luc Brown - Napanee, Ontario (SO-F)",20172018
17,Cole Maier,JR,F,"Pequannock, New Jersey",Union,pequannock new jersey,"Union: 17 Cole Maier - Pequannock, New Jersey (JR-F)",20172018
18,Brett Supinski,JR,F,"Collegeville, Pennsylvania",Union,collegeville pennsylvania,"Union: 18 Brett Supinski - Collegeville, Pennsylvania (JR-F)",20172018
19,Brendan Taylor,JR,F,"Nanaimo, British Columbia",Union,nanaimo british columbia,"Union: 19 Brendan Taylor - Nanaimo, British Columbia (JR-F)",20172018
20,Greg Campbell,JR,D,"Oakville, Ontario",Union,oakville ontario,"Union: 20 Greg Campbell - Oakville, Ontario (JR-D)",20172018
22,Connor Light,SR,D,"Sudbury, Massachusetts",Union,sudbury massachusetts,"Union: 22 Connor Light - Sudbury, Massachusetts (SR-D)",20172018
23,Tyler Hynes,SR,F,"Guiderland, New York",Union,guiderland new york,"Union: 23 Tyler Hynes - Guiderland, New York (SR-F)",20172018
24,Liam Morgan,FR,F,"Whitby, Ontario",Union,whitby ontario,"Union: 24 Liam Morgan - Whitby, Ontario (FR-F)",20172018
25,Ryan Walker,JR,F,"Spotswood, New Jersey",Union,spotswood new jersey,"Union: 25 Ryan Walker - Spotswood, New Jersey (JR-F)",20172018
