"Number","Name","Class","Position","Hometown","Team","Simple.Hometown","Label"
22,"Ben Foster","SR","F","Darien, Connecticut","Princeton","darien connecticut","Princeton: 22 Ben Foster - Darien, Connecticut (SR-F)"
23,"Jeremy Germain","FR","F","Hamden, Connecticut","Princeton","hamden connecticut","Princeton: 23 Jeremy Germain - Hamden, Connecticut (FR-F)"
24,"Quin Pompi","SR","D","Springfield, Pennsylvania","Princeton","springfield pennsylvania","Princeton: 24 Quin Pompi - Springfield, Pennsylvania (SR-D)"
25,"Tommy Davis","SR","D","Ho-Ho-Kus, New Jersey","Princeton","hohokus new jersey","Princeton: 25 Tommy Davis - Ho-Ho-Kus, New Jersey (SR-D)"
26,"Ryan Siiro","SR","F","Bloomington, Minnesota","Princeton","bloomington minnesota","Princeton: 26 Ryan Siiro - Bloomington, Minnesota (SR-F)"
27,"Joe Grabowski","JR","D","Lawrenceville, New Jersey","Princeton","lawrenceville new jersey","Princeton: 27 Joe Grabowski - Lawrenceville, New Jersey (JR-D)"
28,"Derek Topatigh","FR","D","Mississauga, Ontario","Princeton","mississauga ontario","Princeton: 28 Derek Topatigh - Mississauga, Ontario (FR-D)"
31,"Austin Shaw","SO","G","Denver, Colorado","Princeton","denver colorado","Princeton: 31 Austin Shaw - Denver, Colorado (SO-G)"
33,"Colton Phinney","SR","G","Chatham, New Jersey","Princeton","chatham new jersey","Princeton: 33 Colton Phinney - Chatham, New Jersey (SR-G)"
35,"Ben Halford","JR","G","Lenox, Massachusetts","Princeton","lenox massachusetts","Princeton: 35 Ben Halford - Lenox, Massachusetts (JR-G)"
1,"Brendan Leahy","SR","G","Reading, Massachusetts","Providence","reading massachusetts","Providence: 01 Brendan Leahy - Reading, Massachusetts (SR-G)"
2,"Vincent Desharnais","SO","D","Laval, Qu<U+FFFD>bec","Providence","laval qu<U+FFFD>bec","Providence: 02 Vincent Desharnais - Laval, Qu<U+FFFD>bec (SO-D)"
5,"Kyle McKenzie","SR","D","Aston, Pennsylvania","Providence","aston pennsylvania","Providence: 05 Kyle McKenzie - Aston, Pennsylvania (SR-D)"
8,"Ryan Tait","SO","F","Santa Clarita, California","Providence","santa clarita california","Providence: 08 Ryan Tait - Santa Clarita, California (SO-F)"
9,"Brandon Duhaime","FR","F","Parkland, Florida","Providence","parkland florida","Providence: 09 Brandon Duhaime - Parkland, Florida (FR-F)"
10,"Scott Conway","SO","F","Basingstoke, England","Providence","basingstoke england","Providence: 10 Scott Conway - Basingstoke, England (SO-F)"
11,"Niko Rufo","SR","F","Stoneham, Massachusetts","Providence","stoneham massachusetts","Providence: 11 Niko Rufo - Stoneham, Massachusetts (SR-F)"
12,"Erik Foley","SO","F","Mansfield, Massachusetts","Providence","mansfield massachusetts","Providence: 12 Erik Foley - Mansfield, Massachusetts (SO-F)"
13,"Garrett Gamez","SO","F","Chino Hills, California","Providence","chino hills california","Providence: 13 Garrett Gamez - Chino Hills, California (SO-F)"
14,"Chase Zieky","FR","F","Avon, Connecticut","Providence","avon connecticut","Providence: 14 Chase Zieky - Avon, Connecticut (FR-F)"
15,"Josh Wilkins","FR","F","Raleigh, North Carolina","Providence","raleigh north carolina","Providence: 15 Josh Wilkins - Raleigh, North Carolina (FR-F)"
16,"Anthony Florentino","SR","D","West Roxbury, Massachusetts","Providence","west roxbury massachusetts","Providence: 16 Anthony Florentino - West Roxbury, Massachusetts (SR-D)"
17,"Shane Kavanagh","FR","F","East Providence, Rhode Island","Providence","east providence rhode island","Providence: 17 Shane Kavanagh - East Providence, Rhode Island (FR-F)"
18,"Jacob Bryson","FR","D","London, Ontario","Providence","london ontario","Providence: 18 Jacob Bryson - London, Ontario (FR-D)"
19,"Jake Walman","JR","D","Toronto, Ontario","Providence","toronto ontario","Providence: 19 Jake Walman - Toronto, Ontario (JR-D)"
20,"Kasper Bjorkqvist","FR","F","Espoo, Finland","Providence","espoo finland","Providence: 20 Kasper Bjorkqvist - Espoo, Finland (FR-F)"
21,"Spenser Young","FR","D","Brentwood, New Hampshire","Providence","brentwood new hampshire","Providence: 21 Spenser Young - Brentwood, New Hampshire (FR-D)"
22,"Vimal Sukumaran","FR","F","Montreal, Quebec","Providence","montreal quebec","Providence: 22 Vimal Sukumaran - Montreal, Quebec (FR-F)"
23,"Truman Reed","JR","D","Anchorage, Alaska","Providence","anchorage alaska","Providence: 23 Truman Reed - Anchorage, Alaska (JR-D)"
24,"Bryan Lemos","SO","F","East Providence, Rhode Island","Providence","east providence rhode island","Providence: 24 Bryan Lemos - East Providence, Rhode Island (SO-F)"
25,"Robbie Hennessey","JR","F","Garnet Valley, Pennsylvania","Providence","garnet valley pennsylvania","Providence: 25 Robbie Hennessey - Garnet Valley, Pennsylvania (JR-F)"
26,"Brian Pinho","JR","F","North Andover, Massachusetts","Providence","north andover massachusetts","Providence: 26 Brian Pinho - North Andover, Massachusetts (JR-F)"
27,"Josh Monk","SR","D","Langley, British Columbia","Providence","langley british columbia","Providence: 27 Josh Monk - Langley, British Columbia (SR-D)"
28,"Alex Cromwell","JR","F","McKinney, Texas","Providence","mckinney texas","Providence: 28 Alex Cromwell - McKinney, Texas (JR-F)"
29,"Conor MacPhee","SR","F","Windham, New Hampshire","Providence","windham new hampshire","Providence: 29 Conor MacPhee - Windham, New Hampshire (SR-F)"
30,"Kris Carlson","FR","G","Centerville, Virginia","Providence","centerville virginia","Providence: 30 Kris Carlson - Centerville, Virginia (FR-G)"
31,"Hayden Hawkey","SO","G","Parker, Colorado","Providence","parker colorado","Providence: 31 Hayden Hawkey - Parker, Colorado (SO-G)"
2,"Karlis Cukste","FR","D","Riga, Latvia","Quinnipiac","riga latvia","Quinnipiac: 02 Karlis Cukste - Riga, Latvia (FR-D)"
3,"Joe Fiala","SR","F","Verona, Wisconsin","Quinnipiac","verona wisconsin","Quinnipiac: 03 Joe Fiala - Verona, Wisconsin (SR-F)"
4,"Connor Clifton","SR","D","Matawan, New Jersey","Quinnipiac","matawan new jersey","Quinnipiac: 04 Connor Clifton - Matawan, New Jersey (SR-D)"
5,"John Furgele *","JR","D","Glen Mills, Pennsylvania","Quinnipiac","glen mills pennsylvania","Quinnipiac: 05 John Furgele * - Glen Mills, Pennsylvania (JR-D)"
7,"Logan Mick","FR","F","Armstrong, British Columbia","Quinnipiac","armstrong british columbia","Quinnipiac: 07 Logan Mick - Armstrong, British Columbia (FR-F)"
8,"Alex Whelan","FR","F","Ramsey, New Jersey","Quinnipiac","ramsey new jersey","Quinnipiac: 08 Alex Whelan - Ramsey, New Jersey (FR-F)"
10,"Kevin Duane","JR","F","New Canaan, Connecticut","Quinnipiac","new canaan connecticut","Quinnipiac: 10 Kevin Duane - New Canaan, Connecticut (JR-F)"
11,"Tim Clifton","SR","F","Matawan, New Jersey","Quinnipiac","matawan new jersey","Quinnipiac: 11 Tim Clifton - Matawan, New Jersey (SR-F)"
12,"Thomas Aldworth","SO","F","Keller, Texas","Quinnipiac","keller texas","Quinnipiac: 12 Thomas Aldworth - Keller, Texas (SO-F)"
13,"Chase Priskie","SO","D","Pembroke Pines, Florida","Quinnipiac","pembroke pines florida","Quinnipiac: 13 Chase Priskie - Pembroke Pines, Florida (SO-D)"
14,"Derek Smith","SR","D","Apple Valley, Minnesota","Quinnipiac","apple valley minnesota","Quinnipiac: 14 Derek Smith - Apple Valley, Minnesota (SR-D)"
15,"Luke Shiplo","SO","D","Oakville, Ontario","Quinnipiac","oakville ontario","Quinnipiac: 15 Luke Shiplo - Oakville, Ontario (SO-D)"
16,"Landon Smith","JR","F","Greenwood Village, Colorado","Quinnipiac","greenwood village colorado","Quinnipiac: 16 Landon Smith - Greenwood Village, Colorado (JR-F)"
17,"K.J. Tiefenwerth","SR","F","Bellmore, New York","Quinnipiac","bellmore new york","Quinnipiac: 17 K.J. Tiefenwerth - Bellmore, New York (SR-F)"
18,"Nick Jermain","FR","F","Cos Cob, Connecticut","Quinnipiac","cos cob connecticut","Quinnipiac: 18 Nick Jermain - Cos Cob, Connecticut (FR-F)"
19,"Tanner MacMaster","JR","F","Calgary, Alberta","Quinnipiac","calgary alberta","Quinnipiac: 19 Tanner MacMaster - Calgary, Alberta (JR-F)"
20,"Craig Martin","SO","F","Trail, British Columbia","Quinnipiac","trail british columbia","Quinnipiac: 20 Craig Martin - Trail, British Columbia (SO-F)"
22,"Scott Davidson","SO","F","Trail, British Columbia","Quinnipiac","trail british columbia","Quinnipiac: 22 Scott Davidson - Trail, British Columbia (SO-F)"
23,"Tommy Schutt","SR","F","Chanhassen, Minnesota","Quinnipiac","chanhassen minnesota","Quinnipiac: 23 Tommy Schutt - Chanhassen, Minnesota (SR-F)"
24,"Bo Pieper","JR","F","Roseville, Minnesota","Quinnipiac","roseville minnesota","Quinnipiac: 24 Bo Pieper - Roseville, Minnesota (JR-F)"
25,"Brogan Rafferty","FR","D","Dundee, Illinois","Quinnipiac","dundee illinois","Quinnipiac: 25 Brogan Rafferty - Dundee, Illinois (FR-D)"
26,"Brandon Fortunato *","JR","F","Albertson, New York","Quinnipiac","albertson new york","Quinnipiac: 26 Brandon Fortunato * - Albertson, New York (JR-F)"
27,"Kevin McKernan","JR","D","Millbury, Massachusetts","Quinnipiac","millbury massachusetts","Quinnipiac: 27 Kevin McKernan - Millbury, Massachusetts (JR-D)"
33,"Chris Truehl","JR","G","Madison, Wisconsin","Quinnipiac","madison wisconsin","Quinnipiac: 33 Chris Truehl - Madison, Wisconsin (JR-G)"
34,"Matthew King","FR","G","Levittown, New York","Quinnipiac","levittown new york","Quinnipiac: 34 Matthew King - Levittown, New York (FR-G)"
35,"Andrew Shortridge","FR","G","Anchorage, Alaska","Quinnipiac","anchorage alaska","Quinnipiac: 35 Andrew Shortridge - Anchorage, Alaska (FR-G)"
1,"Cam Hackett","SO","G","Sault Ste. Marie, Ontario","Rensselaer","sault ste marie ontario","Rensselaer: 01 Cam Hackett - Sault Ste. Marie, Ontario (SO-G)"
2,"Parker Reno","SR","D","Edina, Minnesota","Rensselaer","edina minnesota","Rensselaer: 02 Parker Reno - Edina, Minnesota (SR-D)"
3,"TJ Samec","FR","D","St. Paul, Minnesota","Rensselaer","st paul minnesota","Rensselaer: 03 TJ Samec - St. Paul, Minnesota (FR-D)"
4,"Tommy Grant","SO","D","Sparta, New Jersey","Rensselaer","sparta new jersey","Rensselaer: 04 Tommy Grant - Sparta, New Jersey (SO-D)"
5,"Charlie Manley","FR","D","Orchard Park, New York","Rensselaer","orchard park new york","Rensselaer: 05 Charlie Manley - Orchard Park, New York (FR-D)"
9,"Meirs Moore","SO","D","Duluth, Minnesota","Rensselaer","duluth minnesota","Rensselaer: 09 Meirs Moore - Duluth, Minnesota (SO-D)"
11,"Evan Tironese","SO","F","Qualicum Beach, British Columbia","Rensselaer","qualicum beach british columbia","Rensselaer: 11 Evan Tironese - Qualicum Beach, British Columbia (SO-F)"
12,"Viktor Liljegren","JR","F","Stockholm, Sweden","Rensselaer","stockholm sweden","Rensselaer: 12 Viktor Liljegren - Stockholm, Sweden (JR-F)"
13,"Jared Wilson","JR","D","Calgary, Alberta","Rensselaer","calgary alberta","Rensselaer: 13 Jared Wilson - Calgary, Alberta (JR-D)"
14,"Riley Bourbonnais","SR","F","Rochester, New York","Rensselaer","rochester new york","Rensselaer: 14 Riley Bourbonnais - Rochester, New York (SR-F)"
16,"Jacob Hayhurst","FR","F","Missassauga, Ontario","Rensselaer","missassauga ontario","Rensselaer: 16 Jacob Hayhurst - Missassauga, Ontario (FR-F)"
18,"Max Reisinger","FR","F","Walding, Austria","Rensselaer","walding austria","Rensselaer: 18 Max Reisinger - Walding, Austria (FR-F)"
19,"Mike Prapavessis","JR","D","Oakville, Ontario","Rensselaer","oakville ontario","Rensselaer: 19 Mike Prapavessis - Oakville, Ontario (JR-D)"
20,"Jimmy DeVito","SR","F","Bloomingdale, Illinois","Rensselaer","bloomingdale illinois","Rensselaer: 20 Jimmy DeVito - Bloomingdale, Illinois (SR-F)"
21,"Brady Wiffen","SO","F","St. Mary's, Ontario","Rensselaer","st marys ontario","Rensselaer: 21 Brady Wiffen - St. Mary's, Ontario (SO-F)"
22,"Bradley Bell","JR","D","Sudbury, Ontario","Rensselaer","sudbury ontario","Rensselaer: 22 Bradley Bell - Sudbury, Ontario (JR-D)"
23,"Lou Nanne","JR","F","Edina, Minnesota","Rensselaer","edina minnesota","Rensselaer: 23 Lou Nanne - Edina, Minnesota (JR-F)"
24,"Will Reilly","FR","D","Toronto, Ontario","Rensselaer","toronto ontario","Rensselaer: 24 Will Reilly - Toronto, Ontario (FR-D)"
25,"Drew Melanson","JR","F","Paramus, New Jersey","Rensselaer","paramus new jersey","Rensselaer: 25 Drew Melanson - Paramus, New Jersey (JR-F)"
26,"Jake Marrello","FR","F","Slingerlands, New York","Rensselaer","slingerlands new york","Rensselaer: 26 Jake Marrello - Slingerlands, New York (FR-F)"
27,"Jake Wood","SR","F","Georgetown, Ontario","Rensselaer","georgetown ontario","Rensselaer: 27 Jake Wood - Georgetown, Ontario (SR-F)"
28,"Jesper  hrvall","SO","F","Halmstad, Sweden","Rensselaer","halmstad sweden","Rensselaer: 28 Jesper  hrvall - Halmstad, Sweden (SO-F)"
29,"Patrick Polino","FR","F","Buffalo, New York","Rensselaer","buffalo new york","Rensselaer: 29 Patrick Polino - Buffalo, New York (FR-F)"
30,"Liam McBain","SO","G","Tualatin, Oregon","Rensselaer","tualatin oregon","Rensselaer: 30 Liam McBain - Tualatin, Oregon (SO-G)"
32,"Kyle St. Denis","FR","G","Katonah, New York","Rensselaer","katonah new york","Rensselaer: 32 Kyle St. Denis - Katonah, New York (FR-G)"
35,"Chase Perry","SO","G","St. Paul, Minnesota","Rensselaer","st paul minnesota","Rensselaer: 35 Chase Perry - St. Paul, Minnesota (SO-G)"
37,"Sam Rappaport","FR","F","Aspen, Colorado","Rensselaer","aspen colorado","Rensselaer: 37 Sam Rappaport - Aspen, Colorado (FR-F)"
39,"Alex Rodriguez","SO","F","Miami, Florida","Rensselaer","miami florida","Rensselaer: 39 Alex Rodriguez - Miami, Florida (SO-F)"
1,"Christian Short","SO","G","Vaughan, Ontario","RIT","vaughan ontario","RIT: 01 Christian Short - Vaughan, Ontario (SO-G)"
2,"Adam Brubacher","FR","D","Elmira, Ontario","RIT","elmira ontario","RIT: 02 Adam Brubacher - Elmira, Ontario (FR-D)"
4,"Brody Valette","FR","D","High River, Alberta","RIT","high river alberta","RIT: 04 Brody Valette - High River, Alberta (FR-D)"
6,"Gabe Valenzuela","SO","F","Brampton, Ontario","RIT","brampton ontario","RIT: 06 Gabe Valenzuela - Brampton, Ontario (SO-F)"
7,"Abbott Girduckis","SO","F","Belleville, Ontario","RIT","belleville ontario","RIT: 07 Abbott Girduckis - Belleville, Ontario (SO-F)"
8,"Chase Norrish","JR","D","Strong Field, Saskatchewan","RIT","strong field saskatchewan","RIT: 08 Chase Norrish - Strong Field, Saskatchewan (JR-D)"
9,"Liam Kerins","SO","F","Caledon, Ontario","RIT","caledon ontario","RIT: 09 Liam Kerins - Caledon, Ontario (SO-F)"
10,"Brady Norrish","JR","D","Strong Field, Saskatchewan","RIT","strong field saskatchewan","RIT: 10 Brady Norrish - Strong Field, Saskatchewan (JR-D)"
11,"Shawn Cameron","FR","F","Sherbrooke, Qu<U+FFFD>bec","RIT","sherbrooke qu<U+FFFD>bec","RIT: 11 Shawn Cameron - Sherbrooke, Qu<U+FFFD>bec (FR-F)"
12,"Ryan Kruper","FR","F","Sherwood Park, Alberta","RIT","sherwood park alberta","RIT: 12 Ryan Kruper - Sherwood Park, Alberta (FR-F)"
14,"Danny Smith","SR","F","Edmonton, Alberta","RIT","edmonton alberta","RIT: 14 Danny Smith - Edmonton, Alberta (SR-F)"
15,"Max Mikowski","JR","F","Cheektowaga, New York","RIT","cheektowaga new york","RIT: 15 Max Mikowski - Cheektowaga, New York (JR-F)"
16,"Erik Brown","SO","F","Keene, Ontario","RIT","keene ontario","RIT: 16 Erik Brown - Keene, Ontario (SO-F)"
17,"Todd Skirving","SR","F","Thunder Bay, Ontario","RIT","thunder bay ontario","RIT: 17 Todd Skirving - Thunder Bay, Ontario (SR-F)"
18,"Matt Abt","JR","D","Leduc, Alberta","RIT","leduc alberta","RIT: 18 Matt Abt - Leduc, Alberta (JR-D)"
19,"Myles Powell","JR","F","Courtenay, British Columbia","RIT","courtenay british columbia","RIT: 19 Myles Powell - Courtenay, British Columbia (JR-F)"
21,"Michael Holland","SR","D","Cambridge, Massachusetts","RIT","cambridge massachusetts","RIT: 21 Michael Holland - Cambridge, Massachusetts (SR-D)"
22,"Garrett McMullen","SR","F","Churchville, New York","RIT","churchville new york","RIT: 22 Garrett McMullen - Churchville, New York (SR-F)"
23,"Darren Brady","FR","D","Lake Orion, Michigan","RIT","lake orion michigan","RIT: 23 Darren Brady - Lake Orion, Michigan (FR-D)"
24,"Chris McKay","FR","D","Edmonton, Alberta","RIT","edmonton alberta","RIT: 24 Chris McKay - Edmonton, Alberta (FR-D)"
25,"Jordan Peacock","FR","F","Burlington, Ontario","RIT","burlington ontario","RIT: 25 Jordan Peacock - Burlington, Ontario (FR-F)"
26,"Caleb Cameron","SR","F","Sunridge, Ontario","RIT","sunridge ontario","RIT: 26 Caleb Cameron - Sunridge, Ontario (SR-F)"
27,"Alex Perron-Fontaine","SR","D","Saint-Mathieu-de-Beloeil, Quebec","RIT","saintmathieudebeloeil quebec","RIT: 27 Alex Perron-Fontaine - Saint-Mathieu-de-Beloeil, Quebec (SR-D)"
28,"Mark Logan","SO","F","Calgary, Alberta","RIT","calgary alberta","RIT: 28 Mark Logan - Calgary, Alberta (SO-F)"
30,"Mike Rotolo","SR","G","Rochester, New York","RIT","rochester new york","RIT: 30 Mike Rotolo - Rochester, New York (SR-G)"
33,"Gavin Lewis","SO","G","Mountaintop, Pennsylvania","RIT","mountaintop pennsylvania","RIT: 33 Gavin Lewis - Mountaintop, Pennsylvania (SO-G)"
1,"Francis Marotte","FR","G","Longueuil, Qu<U+FFFD>bec","Robert Morris","longueuil qu<U+FFFD>bec","Robert Morris: 01 Francis Marotte - Longueuil, Qu<U+FFFD>bec (FR-G)"
2,"Alex Bontje","JR","D","Nobleton, Ontario","Robert Morris","nobleton ontario","Robert Morris: 02 Alex Bontje - Nobleton, Ontario (JR-D)"
3,"Nick Jenny","FR","D","Strongsville, Ohio","Robert Morris","strongsville ohio","Robert Morris: 03 Nick Jenny - Strongsville, Ohio (FR-D)"
4,"Elias Ghantous","JR","D","Ottawa, Ontario","Robert Morris","ottawa ontario","Robert Morris: 04 Elias Ghantous - Ottawa, Ontario (JR-D)"
5,"Sean Giles","FR","D","Colorado Springs, Colorado","Robert Morris","colorado springs colorado","Robert Morris: 05 Sean Giles - Colorado Springs, Colorado (FR-D)"
6,"Rob Mann","SR","D","Oshawa, Ontario","Robert Morris","oshawa ontario","Robert Morris: 06 Rob Mann - Oshawa, Ontario (SR-D)"
7,"Michael Louria","JR","F","Gibraltar, Michigan","Robert Morris","gibraltar michigan","Robert Morris: 07 Michael Louria - Gibraltar, Michigan (JR-F)"
8,"Eric Israel","SO","D","Huntington Woods, Michigan","Robert Morris","huntington woods michigan","Robert Morris: 08 Eric Israel - Huntington Woods, Michigan (SO-D)"
9,"Daniel Mantenuto","FR","F","Thornhill, Ontario","Robert Morris","thornhill ontario","Robert Morris: 09 Daniel Mantenuto - Thornhill, Ontario (FR-F)"
10,"Kevin Lavoie","FR","F","St. Catharines, Ontario","Robert Morris","st catharines ontario","Robert Morris: 10 Kevin Lavoie - St. Catharines, Ontario (FR-F)"
11,"Kyle Horsman","SO","F","Sechelt, British Columbia","Robert Morris","sechelt british columbia","Robert Morris: 11 Kyle Horsman - Sechelt, British Columbia (SO-F)"
12,"Brady Ferguson","JR","F","Lewisville, Texas","Robert Morris","lewisville texas","Robert Morris: 12 Brady Ferguson - Lewisville, Texas (JR-F)"
15,"Spencer Dorowicz","JR","F","Olds, Alberta","Robert Morris","olds alberta","Robert Morris: 15 Spencer Dorowicz - Olds, Alberta (JR-F)"
17,"Brandon Watt","SO","F","Ottawa, Ontario","Robert Morris","ottawa ontario","Robert Morris: 17 Brandon Watt - Ottawa, Ontario (SO-F)"
18,"Michael Coyne","FR","F","Buffalo, New York","Robert Morris","buffalo new york","Robert Morris: 18 Michael Coyne - Buffalo, New York (FR-F)"
19,"Alex Robert","FR","D","Novi, Michigan","Robert Morris","novi michigan","Robert Morris: 19 Alex Robert - Novi, Michigan (FR-D)"
20,"Timmy Moore","JR","F","Grosse Pointe, Michigan","Robert Morris","grosse pointe michigan","Robert Morris: 20 Timmy Moore - Grosse Pointe, Michigan (JR-F)"
21,"Robert Powers","JR","D","Ajax, Ontario","Robert Morris","ajax ontario","Robert Morris: 21 Robert Powers - Ajax, Ontario (JR-D)"
22,"Ben Robillard","SR","F","Ottawa, Ontario","Robert Morris","ottawa ontario","Robert Morris: 22 Ben Robillard - Ottawa, Ontario (SR-F)"
24,"Alex Tonge","SO","F","Kingston, Ontario","Robert Morris","kingston ontario","Robert Morris: 24 Alex Tonge - Kingston, Ontario (SO-F)"
26,"Daniel Leavens","SR","F","Toronto, Ontario","Robert Morris","toronto ontario","Robert Morris: 26 Daniel Leavens - Toronto, Ontario (SR-F)"
27,"Jacob Coleman","FR","F","Pittsburgh, Pennsylvania","Robert Morris","pittsburgh pennsylvania","Robert Morris: 27 Jacob Coleman - Pittsburgh, Pennsylvania (FR-F)"
28,"Luke Lynch","FR","F","Pittsburgh, Pennsylvania","Robert Morris","pittsburgh pennsylvania","Robert Morris: 28 Luke Lynch - Pittsburgh, Pennsylvania (FR-F)"
30,"Andrew Pikul","JR","G","Cleveland, Ohio","Robert Morris","cleveland ohio","Robert Morris: 30 Andrew Pikul - Cleveland, Ohio (JR-G)"
31,"Dalton Izyk","SR","G","Oswego, New York","Robert Morris","oswego new york","Robert Morris: 31 Dalton Izyk - Oswego, New York (SR-G)"
33,"Alex Dagnal","JR","F","Pittsburgh, Pennsylvania","Robert Morris","pittsburgh pennsylvania","Robert Morris: 33 Alex Dagnal - Pittsburgh, Pennsylvania (JR-F)"
35,"Nathan Mortland","JR","G","Cumming, Georgia","Robert Morris","cumming georgia","Robert Morris: 35 Nathan Mortland - Cumming, Georgia (JR-G)"
44,"Matthew Graham","FR","F","Bedford, Nova Scotia","Robert Morris","bedford nova scotia","Robert Morris: 44 Matthew Graham - Bedford, Nova Scotia (FR-F)"
2,"Max Luukko","FR","D","Avalon, New Jersey","Sacred Heart","avalon new jersey","Sacred Heart: 02 Max Luukko - Avalon, New Jersey (FR-D)"
4,"Liam Clare","SO","D","Georgetown, Ontario","Sacred Heart","georgetown ontario","Sacred Heart: 04 Liam Clare - Georgetown, Ontario (SO-D)"
5,"Christian Lloyd","FR","D","Oakville, Ontario","Sacred Heart","oakville ontario","Sacred Heart: 05 Christian Lloyd - Oakville, Ontario (FR-D)"
6,"Coltyn Hansen","SR","F","South Delta, British Columbia","Sacred Heart","south delta british columbia","Sacred Heart: 06 Coltyn Hansen - South Delta, British Columbia (SR-F)"
8,"Jeff Carroll","SR","F","Kingston, Ontario","Sacred Heart","kingston ontario","Sacred Heart: 08 Jeff Carroll - Kingston, Ontario (SR-F)"
9,"Alec Butcher","JR","F","Anchorage, Alaska","Sacred Heart","anchorage alaska","Sacred Heart: 09 Alec Butcher - Anchorage, Alaska (JR-F)"
10,"Erlich Doerksen","SR","D","Toronto, Ontario","Sacred Heart","toronto ontario","Sacred Heart: 10 Erlich Doerksen - Toronto, Ontario (SR-D)"
11,"Adam Durkee","SO","F","Nederland, Colorado","Sacred Heart","nederland colorado","Sacred Heart: 11 Adam Durkee - Nederland, Colorado (SO-F)"
12,"Stephen Hladin","SO","F","Mississauga, Ontario","Sacred Heart","mississauga ontario","Sacred Heart: 12 Stephen Hladin - Mississauga, Ontario (SO-F)"
13,"Jason Cotton","SO","F","Parker, Texas","Sacred Heart","parker texas","Sacred Heart: 13 Jason Cotton - Parker, Texas (SO-F)"
14,"Nick Lotito","SR","F","Staten Island, New York","Sacred Heart","staten island new york","Sacred Heart: 14 Nick Lotito - Staten Island, New York (SR-F)"
15,"Zach De Concilys","SO","F","St. Catherines, Ontario","Sacred Heart","st catherines ontario","Sacred Heart: 15 Zach De Concilys - St. Catherines, Ontario (SO-F)"
16,"Mitch Nylen","SR","D","Lawrenceville, Georgia","Sacred Heart","lawrenceville georgia","Sacred Heart: 16 Mitch Nylen - Lawrenceville, Georgia (SR-D)"
17,"Justin Danforth","SR","F","Oshawa, Ontario","Sacred Heart","oshawa ontario","Sacred Heart: 17 Justin Danforth - Oshawa, Ontario (SR-F)"
18,"Spencer Graboski","SR","F","Quesnel, British Columbia","Sacred Heart","quesnel british columbia","Sacred Heart: 18 Spencer Graboski - Quesnel, British Columbia (SR-F)"
19,"Kory Kennedy","JR","F","Midhurst, Ontario","Sacred Heart","midhurst ontario","Sacred Heart: 19 Kory Kennedy - Midhurst, Ontario (JR-F)"
20,"Vito Bavaro","FR","F","Sarasota, Florida","Sacred Heart","sarasota florida","Sacred Heart: 20 Vito Bavaro - Sarasota, Florida (FR-F)"
21,"Zach Tsekos","FR","F","Montr<U+FFFD>al, Quebec","Sacred Heart","montr<U+FFFD>al quebec","Sacred Heart: 21 Zach Tsekos - Montr<U+FFFD>al, Quebec (FR-F)"
22,"Mike Crocock","SO","D","Scotland, Ontario","Sacred Heart","scotland ontario","Sacred Heart: 22 Mike Crocock - Scotland, Ontario (SO-D)"
23,"Jordan Minello","SR","F","Sweaburg, Ontario","Sacred Heart","sweaburg ontario","Sacred Heart: 23 Jordan Minello - Sweaburg, Ontario (SR-F)"
24,"Hunter Fargey","FR","F","Belleville, Ontario","Sacred Heart","belleville ontario","Sacred Heart: 24 Hunter Fargey - Belleville, Ontario (FR-F)"
25,"Austin McIlmurray","FR","F","Coral Springs, Florida","Sacred Heart","coral springs florida","Sacred Heart: 25 Austin McIlmurray - Coral Springs, Florida (FR-F)"
26,"Evan Jasper","SR","F","Whitby, Ontario","Sacred Heart","whitby ontario","Sacred Heart: 26 Evan Jasper - Whitby, Ontario (SR-F)"
27,"Jackson Barliant","SO","F","Santa Fe, New Mexico","Sacred Heart","santa fe new mexico","Sacred Heart: 27 Jackson Barliant - Santa Fe, New Mexico (SO-F)"
28,"Connor Doherty","SR","D","Holden, Massachusetts","Sacred Heart","holden massachusetts","Sacred Heart: 28 Connor Doherty - Holden, Massachusetts (SR-D)"
29,"Ruslan Rakhmatov","FR","D","Moscow, Russia","Sacred Heart","moscow russia","Sacred Heart: 29 Ruslan Rakhmatov - Moscow, Russia (FR-D)"
30,"Sammy Bernard","JR","G","Lafayette, Colorado","Sacred Heart","lafayette colorado","Sacred Heart: 30 Sammy Bernard - Lafayette, Colorado (JR-G)"
31,"Nathan Perry","JR","G","Bath, Ontario","Sacred Heart","bath ontario","Sacred Heart: 31 Nathan Perry - Bath, Ontario (JR-G)"
33,"Brett Magnus","SO","G","Montreal, Quebec","Sacred Heart","montreal quebec","Sacred Heart: 33 Brett Magnus - Montreal, Quebec (SO-G)"
1,"Jeff Smith","SO","G","Maple Ridge, British Columbia","St. Cloud State","maple ridge british columbia","St. Cloud State: 01 Jeff Smith - Maple Ridge, British Columbia (SO-G)"
2,"Clark Kuster","SO","D","St. Louis, Missouri","St. Cloud State","st louis missouri","St. Cloud State: 02 Clark Kuster - St. Louis, Missouri (SO-D)"
3,"Jack Poehling","FR","F","Lakeville, Minnesota","St. Cloud State","lakeville minnesota","St. Cloud State: 03 Jack Poehling - Lakeville, Minnesota (FR-F)"
4,"Ben Storm","SR","F","Laurium, Michigan","St. Cloud State","laurium michigan","St. Cloud State: 04 Ben Storm - Laurium, Michigan (SR-F)"
