"Rk","Player","Start.Year","End.Date","Position","GP","G","A","PTS","Plus-Minus","PIM","W","L","TO","SV","GAA","Birthplace","Birth.Date","Death.Date"
"611","Gilbert Perreault*","1971","1987","C","1191","512","814","1326","42","500","","","","","","Victoriaville","1950-11-13",""
"612","Mathieu Perreault","2010","2017","C","417","87","141","228","18","208","","","","","","Drummondville","1988-01-05",""
"613","Yanic Perreault","1994","2008","C","859","247","269","516","-20","402","","","","","","Sherbrooke","1971-04-04",""
"614","Eric Perrin","2004","2009","C","245","32","72","104","-15","92","","","","","","Laval","1975-11-01",""
"615","David Perron","2008","2017","LW","642","156","216","372","-1","496","","","","","","Sherbrooke","1988-05-28",""
"616","Jimmy Peters","1946","1954","RW","574","125","150","275","","186","","","","","","Montreal","1922-10-02","2006-10-11"
"617","Jimmy Peters","1965","1975","C","309","37","36","73","-38","48","","","","","","Montreal","1944-06-20",""
"618","Michel Petit","1983","1998","D","827","90","238","328","-172","1839","","","","","","St-Malo","1964-02-12",""
"619","Alexandre Picard","2006","2012","D","253","19","50","69","-31","86","","","","","","Gatineau","1985-07-05",""
"620","Alexandre Picard","2006","2010","LW","67","0","2","2","-9","58","","","","","","Les Saules","1985-10-09",""
"621","Michel Picard","1991","2001","LW","166","28","42","70","-9","103","","","","","","Beauport","1969-11-07",""
"622","Noel Picard","1965","1973","D","335","12","63","75","10","616","","","","","","Montreal","1938-12-25",""
"623","Robert Picard","1978","1990","D","899","104","319","423","-43","1025","","","","","","Montreal","1957-05-25",""
"624","Roger Picard","1968","1968","RW","15","2","2","4","-4","21","","","","","","Montreal","1935-01-13",""
"625","Pierre Pilote*","1956","1969","D","890","80","418","498","-3","1251","","","","","","Kenogami","1931-12-11",""
"626","Didier Pitre*","1918","1923","RW/D","127","64","33","97","","87","","","","","","Valleyfield","1883-09-01","1934-07-29"
"627","Gerry Plamondon","1946","1951","LW","74","7","13","20","","10","","","","","","Sherbrooke","1925-01-05",""
