"Team","Wins","Losses","Ties","HomeWins","HomeLosses","HomeTies","AwayWins","AwayLosses","AwayTies","NeutralWins","NeutralLosses","NeutralTies","Pct","AdjPct","OppWinPct","OppOppWinPct","SOS","RPI"
"Boston University",14,9,8,10,2,3,4,6,4,0,1,1,0.580645161290323,0.582758620689655,0.508162143657352,0.48483089602436,0.491363645361598,0.514212389193612
"Denver",14,11,5,7,5,4,7,6,1,0,0,0,0.55,0.543624161073825,0.510703291240204,0.496374418439038,0.500386502823364,0.51119591738598
"Providence",15,11,4,8,4,1,6,7,2,1,0,1,0.566666666666667,0.575862068965517,0.481050115221033,0.49081769073912,0.488082769594055,0.510027594436921
"Dartmouth",12,10,6,8,4,2,4,6,4,0,0,0,0.535714285714286,0.537313432835821,0.503125385999724,0.495207375057917,0.497424418121623,0.507396671800172
"Arizona State",11,9,8,4,3,3,6,6,4,1,0,1,0.535714285714286,0.557553956834532,0.467573500918113,0.498072813314474,0.489533005843493,0.506538243591253
"Michigan",13,14,5,10,4,3,3,9,2,0,1,0,0.484375,0.472972972972973,0.518771418820084,0.513554771467786,0.51501543272643,0.504504817788066
"RIT",15,15,4,7,8,2,8,7,2,0,0,0,0.5,0.5,0.522304353673267,0.498293294641372,0.505016391170303,0.503762293377727
"St. Lawrence",13,12,7,8,5,3,5,7,4,0,0,0,0.515625,0.516129032258065,0.497825394827628,0.498854079892162,0.498566048074093,0.502956794120086
"American International",12,13,8,8,5,2,4,8,6,0,0,0,0.484848484848485,0.493670886075949,0.50595876425048,0.502779396764894,0.503669619660858,0.501169936264631
"Michigan Tech",11,12,6,6,3,5,5,8,0,0,1,1,0.482758620689655,0.47841726618705,0.51619145560322,0.503415399549119,0.506992695244267,0.499848837979963
"Bemidji State",11,13,4,6,5,2,5,8,2,0,0,0,0.464285714285714,0.470588235294118,0.537617934577277,0.497049943772678,0.508408981197966,0.498953794722004
"Ferris State",11,14,7,5,8,1,6,6,6,0,0,0,0.453125,0.466257668711656,0.49823470241415,0.511347127705678,0.50767564862405,0.497321153645952
"Northeastern",14,12,4,13,2,2,1,10,1,0,0,1,0.533333333333333,0.519230769230769,0.491517088300641,0.483884494197095,0.486021620546088,0.494323907717258
"Miami",11,12,7,5,7,4,6,5,3,0,0,0,0.483333333333333,0.477124183006536,0.506063508024292,0.490022188509739,0.494513757973814,0.490166364231994
